Image_ID,Degradation,PC1,PC2,TSNE1,TSNE2
R001,Rain,-5.777419567108154,-12.56240463256836,-14.87558364868164,5.545000553131104
R002,Rain,-6.778636455535889,-12.34757518768311,-10.93851184844971,4.508735179901123
R003,Rain,-4.330213069915771,-13.35905075073242,-16.52876472473145,3.933899164199829
R004,Rain,-4.424177646636963,-13.5421667098999,-16.50341796875,3.985296010971069
R005,Rain,-3.918680191040039,-19.2388801574707,-20.52308654785156,1.390901446342468
R006,Rain,-5.748872756958008,-12.67382431030273,-10.23098182678223,2.857139110565186
R007,Rain,-0.376997321844101,-18.0807991027832,-18.52890014648438,-0.6266739368438721
R008,Rain,3.511065483093262,-19.09936141967773,-20.88627433776855,-2.779199838638306
R009,Rain,2.386778116226196,-12.30774784088135,-16.19259071350098,-4.239392280578613
R010,Rain,-5.115993022918701,-16.68180465698242,-17.07647323608398,5.173625946044922
R011,Rain,4.111274719238281,-16.88388061523438,-20.47054481506348,-3.200944662094116
R012,Rain,-3.976193428039551,-17.34930229187012,-16.24117469787598,2.259752511978149
R013,Rain,-8.251455307006836,-18.46978950500488,-19.72490501403809,6.424014568328857
R014,Rain,-4.532586574554443,-17.70549583435059,-20.30333137512207,1.582726836204529
R015,Rain,-10.08925628662109,-16.31179618835449,-19.70465850830078,6.709277629852295
R016,Rain,-2.938489437103271,-11.72928714752197,-16.20436668395996,0.2073879987001419
R017,Rain,-0.9495136737823486,-12.1122989654541,-15.56888294219971,-1.519156455993652
R018,Rain,-0.8212469220161438,-17.3450984954834,-19.72577857971191,-1.399456143379211
R019,Rain,-8.099822998046875,-12.06319522857666,-14.61577892303467,5.484461784362793
R020,Rain,0.5815527439117432,-17.49601364135742,-18.45949935913086,-1.254010677337646
R021,Rain,-6.455041885375977,-13.2736291885376,-18.20327377319336,7.929349422454834
R022,Rain,-4.195612907409668,-13.70859813690186,-17.58777809143066,2.127300500869751
R023,Rain,0.3868941068649292,-13.88545894622803,-19.39092636108398,-1.763330817222595
R024,Rain,-2.037307500839233,-15.81443977355957,-15.71492099761963,-2.860157489776611
R025,Rain,-5.341202735900879,-13.30938529968262,-10.22316265106201,2.858481168746948
R026,Rain,2.980026483535767,-15.00325679779053,-17.00623893737793,-2.900083780288696
R027,Rain,-8.45097827911377,-18.53739929199219,-17.84194374084473,5.957610607147217
R028,Rain,5.369603633880615,-11.50996398925781,-16.61613082885742,-5.103462219238281
R029,Rain,6.936160564422607,-11.94857692718506,-18.71501541137695,-5.085227489471436
R030,Rain,-6.027255058288574,-12.28974914550781,-14.98255252838135,7.026101589202881
R031,Rain,-10.39136028289795,-12.52138137817383,-14.36424255371094,8.105266571044922
R032,Rain,-2.335962533950806,-20.37642669677734,-20.04419898986816,3.205690622329712
R033,Rain,-5.608563899993896,-19.98408508300781,-21.83902168273926,1.314374923706055
R034,Rain,-10.27316474914551,-9.972366333007812,-15.50855827331543,5.699154376983643
R035,Rain,1.744209170341492,-15.79201889038086,-17.42526435852051,-4.735530376434326
R036,Rain,-2.516821384429932,-13.60810947418213,-18.08225440979004,-0.3070076107978821
R037,Rain,-3.955677509307861,-17.5435791015625,-19.02157974243164,2.489055633544922
R038,Rain,-6.264636516571045,-9.884552001953125,-14.35353565216064,3.989209175109863
R039,Rain,2.077929735183716,-13.45950794219971,-17.59796714782715,-2.919626712799072
R040,Rain,-2.509554624557495,-18.6903018951416,-18.57998085021973,0.8295867443084717
R041,Rain,0.729410707950592,-15.69767761230469,-17.63006591796875,-1.988628149032593
R042,Rain,-0.6871469020843506,-16.99640083312988,-17.54329109191895,-1.16559636592865
R043,Rain,-3.000152349472046,-17.77120590209961,-16.83821487426758,3.212626457214355
R044,Rain,-6.276122570037842,-13.72818756103516,-15.23766994476318,3.146583795547485
R045,Rain,-5.745487689971924,-9.233627319335938,-15.03696250915527,1.750738382339478
R046,Rain,-6.468327522277832,-11.9296178817749,-14.93270206451416,4.295272350311279
R047,Rain,4.015115737915039,-20.21269035339355,-20.77743339538574,-2.60422682762146
R048,Rain,-6.660182952880859,-14.82879161834717,-20.76305198669434,4.560000896453857
R049,Rain,-11.90837860107422,-4.36328125,-11.980393409729,6.30917501449585
R050,Rain,-8.053587913513184,-18.62369346618652,-20.48577690124512,4.656002521514893
R051,Rain,1.931236863136292,-13.82656478881836,-16.96689224243164,-4.735749244689941
R052,Rain,-2.250746965408325,-15.94131469726562,-17.55080413818359,0.6750069260597229
R053,Rain,-4.289339065551758,-15.88750743865967,-20.27988243103027,0.8234336972236633
R054,Rain,-1.866377234458923,-10.98615646362305,-16.85998725891113,-2.062978506088257
R055,Rain,1.007717251777649,-13.2927131652832,-18.44248008728027,-3.173662185668945
R056,Rain,-5.003729343414307,-17.30336952209473,-18.74973106384277,2.435621738433838
R057,Rain,-6.070191860198975,-10.24598979949951,-10.7792272567749,3.810379028320312
R058,Rain,2.521161079406738,-13.2317943572998,-16.2221508026123,-4.334810256958008
R059,Rain,-8.872506141662598,-7.575815200805664,-12.97678470611572,5.653766632080078
R060,Rain,-3.629445552825928,-17.0721435546875,-13.91304874420166,0.8374856114387512
R061,Rain,-5.065820217132568,-14.78349304199219,-17.99789619445801,2.311473608016968
R062,Rain,-3.173817157745361,-15.19662380218506,-15.99659061431885,0.03750914335250854
R063,Rain,-7.768767356872559,-13.01954460144043,-17.5023365020752,4.688774108886719
R064,Rain,-13.06981754302979,-10.82372188568115,-13.78153419494629,2.543042421340942
R065,Rain,-5.846774578094482,-13.29151153564453,-16.07596015930176,0.8182250261306763
R066,Rain,-6.053316116333008,-16.07122611999512,-15.79081153869629,3.071657180786133
R067,Rain,-8.645557403564453,-10.45160007476807,-16.09671401977539,6.187595844268799
R068,Rain,3.294996500015259,-14.79788684844971,-18.11965751647949,-2.993183135986328
R069,Rain,-5.331907749176025,-16.16250419616699,-17.10935020446777,5.295518398284912
R070,Rain,-8.361351013183594,-8.372570991516113,-18.19978904724121,3.785105228424072
R071,Rain,-6.429128170013428,-16.42493057250977,-18.76985549926758,4.154721260070801
R072,Rain,-0.88865065574646,-14.02184581756592,-19.4401741027832,-2.351661443710327
R073,Rain,-5.193377494812012,-16.21102714538574,-16.35521507263184,5.059781551361084
R074,Rain,-12.80857944488525,2.08086085319519,-1.677961349487305,11.44486236572266
R075,Rain,-11.20285415649414,-8.883890151977539,-15.27850914001465,7.503684520721436
R076,Rain,4.920310020446777,-16.65970611572266,-19.66048049926758,-3.687315702438354
R077,Rain,-8.725103378295898,-10.2920503616333,-13.54176998138428,7.226290702819824
R078,Rain,-7.009200096130371,-15.33231067657471,-18.97543907165527,4.740993976593018
R079,Rain,-8.72415828704834,-12.86679649353027,-18.58658599853516,4.818594455718994
R080,Rain,4.43841552734375,-17.19134521484375,-20.17532920837402,-3.117311477661133
R081,Rain,-9.950834274291992,-3.25149941444397,-11.68220996856689,5.744691371917725
R082,Rain,-7.767562866210938,-8.556477546691895,-11.97547149658203,4.678468704223633
R083,Rain,-5.527510643005371,-18.57663345336914,-17.4871997833252,6.683341503143311
R084,Rain,-9.92695426940918,-10.54334449768066,-14.11226844787598,5.530945301055908
R085,Rain,-4.043779850006104,-13.22751998901367,-14.03117752075195,-1.236693859100342
R086,Rain,-1.970953822135925,-16.86101722717285,-19.30620002746582,0.5601086020469666
R087,Rain,-2.58189868927002,-16.43803977966309,-18.47650527954102,0.05056614428758621
